Condition;X;Y;Z;Time stamp
Change Blindness;0.01169859;0.8117104;0.1474457;11/25/2020 4:10:46 PM
Change Blindness;0.008433881;0.8129019;0.1419069;11/25/2020 4:10:46 PM
Change Blindness;-0.04322581;0.8260041;0.1423811;11/25/2020 4:10:48 PM
Change Blindness;-0.04281722;0.8260489;0.1433257;11/25/2020 4:10:48 PM
Change Blindness;-0.04196556;0.8255255;0.1439355;11/25/2020 4:10:48 PM
Change Blindness;-0.04135395;0.825035;0.1445846;11/25/2020 4:10:48 PM
Change Blindness;-0.03888395;0.8239318;0.1462486;11/25/2020 4:10:48 PM
Change Blindness;-0.03718096;0.8236439;0.1465969;11/25/2020 4:10:49 PM
Change Blindness;-0.03562921;0.8233593;0.1469772;11/25/2020 4:10:49 PM
Change Blindness;-0.03562921;0.8233593;0.1469772;11/25/2020 4:10:49 PM
Change Blindness;-0.02837006;0.8226683;0.1455133;11/25/2020 4:10:49 PM
Change Blindness;-0.0226416;0.8224326;0.1436026;11/25/2020 4:10:49 PM
Change Blindness;-0.01740153;0.8227862;0.1450623;11/25/2020 4:10:49 PM
Change Blindness;-0.01238955;0.8231104;0.1464282;11/25/2020 4:10:49 PM
Change Blindness;-0.01238955;0.8231104;0.1464282;11/25/2020 4:10:49 PM
Change Blindness;0.005918598;0.8170067;0.1551819;11/25/2020 4:10:49 PM
Change Blindness;0.0200272;0.813651;0.1605099;11/25/2020 4:10:49 PM
Change Blindness;0.03454001;0.8127505;0.1635508;11/25/2020 4:10:49 PM
Change Blindness;0.03454001;0.8127505;0.1635508;11/25/2020 4:10:49 PM
Change Blindness;0.05589893;0.8145295;0.1575805;11/25/2020 4:10:49 PM
Change Blindness;0.0785951;0.8169297;0.1513931;11/25/2020 4:10:49 PM
Change Blindness;0.0785951;0.8169297;0.1513931;11/25/2020 4:10:49 PM
Change Blindness;0.1002316;0.8202893;0.145801;11/25/2020 4:10:49 PM
Change Blindness;0.1002316;0.8202893;0.145801;11/25/2020 4:10:49 PM
Change Blindness;0.1226353;0.822422;0.1385593;11/25/2020 4:10:49 PM
Change Blindness;0.1226353;0.822422;0.1385593;11/25/2020 4:10:49 PM
Change Blindness;0.07433859;0.799372;0.1429705;11/25/2020 4:10:50 PM
Change Blindness;0.07433859;0.799372;0.1429705;11/25/2020 4:10:50 PM
Change Blindness;0.07433859;0.799372;0.1429705;11/25/2020 4:10:50 PM
Change Blindness;0.04968492;0.8002831;0.1427816;11/25/2020 4:10:50 PM
Change Blindness;0.02792999;0.7918037;0.1447589;11/25/2020 4:10:50 PM
Change Blindness;0.02792999;0.7918037;0.1447589;11/25/2020 4:10:50 PM
Change Blindness;0.01819868;0.7884322;0.1473986;11/25/2020 4:10:50 PM
Change Blindness;0.0180708;0.7891656;0.1474063;11/25/2020 4:10:50 PM
Change Blindness;0.01725177;0.7901907;0.1475031;11/25/2020 4:10:50 PM
Change Blindness;0.01725177;0.7901907;0.1475031;11/25/2020 4:10:50 PM
Change Blindness;0.01833285;0.792609;0.1457406;11/25/2020 4:10:50 PM
Change Blindness;0.01891943;0.7941149;0.1430684;11/25/2020 4:10:50 PM
Change Blindness;0.0330919;0.7955211;0.1427023;11/25/2020 4:10:50 PM
Change Blindness;0.03686436;0.7956674;0.1438361;11/25/2020 4:10:50 PM
Change Blindness;0.04100304;0.7926668;0.1493935;11/25/2020 4:10:50 PM
Change Blindness;0.0449107;0.7899078;0.1545375;11/25/2020 4:10:50 PM
Change Blindness;0.05165429;0.7883154;0.1549781;11/25/2020 4:10:50 PM
Change Blindness;0.05521659;0.7874653;0.1553584;11/25/2020 4:10:50 PM
Change Blindness;0.06494921;0.7893291;0.1532798;11/25/2020 4:10:50 PM
Change Blindness;0.07009136;0.7924604;0.1488696;11/25/2020 4:10:50 PM
Change Blindness;0.04371385;0.8015833;0.1435333;11/25/2020 4:10:51 PM
Change Blindness;0.03681999;0.8014059;0.1440531;11/25/2020 4:10:51 PM
Change Blindness;0.02454422;0.7969002;0.1460094;11/25/2020 4:10:51 PM
Change Blindness;0.01850289;0.7948838;0.146926;11/25/2020 4:10:51 PM
Change Blindness;0.01485862;0.795399;0.1457426;11/25/2020 4:10:51 PM
Change Blindness;0.01073624;0.7980082;0.1419345;11/25/2020 4:10:51 PM
Change Blindness;0.03020673;0.7981798;0.1425296;11/25/2020 4:10:51 PM
Change Blindness;0.0345998;0.7977173;0.1434726;11/25/2020 4:10:51 PM
Change Blindness;0.05256633;0.792055;0.1512617;11/25/2020 4:10:51 PM
Change Blindness;0.05830806;0.7899621;0.1541638;11/25/2020 4:10:51 PM
Change Blindness;0.06373417;0.7895937;0.1536712;11/25/2020 4:10:51 PM
Change Blindness;0.07479418;0.7904786;0.1504636;11/25/2020 4:10:52 PM
Change Blindness;0.08604386;0.7926811;0.1454602;11/25/2020 4:10:52 PM
Change Blindness;0.08604386;0.7926811;0.1454602;11/25/2020 4:10:52 PM
Change Blindness;0.09290377;0.7923768;0.144426;11/25/2020 4:10:52 PM
Change Blindness;0.1066543;0.7928842;0.1418663;11/25/2020 4:10:52 PM
Change Blindness;0.1191025;0.8069531;0.1423809;11/25/2020 4:10:52 PM
Change Blindness;0.1096746;0.8063388;0.1439527;11/25/2020 4:10:52 PM
Change Blindness;0.1096746;0.8063388;0.1439527;11/25/2020 4:10:52 PM
Change Blindness;0.08450638;0.8025513;0.1472303;11/25/2020 4:10:52 PM
Change Blindness;0.06847923;0.800203;0.1491586;11/25/2020 4:10:52 PM
Change Blindness;0.06067507;0.799051;0.1499791;11/25/2020 4:10:52 PM
Change Blindness;0.05292035;0.7979219;0.1508178;11/25/2020 4:10:52 PM
Change Blindness;0.03076366;0.7893756;0.1570863;11/25/2020 4:10:52 PM
Change Blindness;0.02450394;0.7887403;0.1574713;11/25/2020 4:10:52 PM
Change Blindness;0.01789397;0.7879808;0.1579654;11/25/2020 4:10:52 PM
Change Blindness;0.01789397;0.7879808;0.1579654;11/25/2020 4:10:52 PM
Change Blindness;0.007468092;0.7922536;0.1521613;11/25/2020 4:10:52 PM
Change Blindness;0.002802951;0.7939541;0.1508371;11/25/2020 4:10:52 PM
Change Blindness;-0.0004140299;0.7942917;0.1517562;11/25/2020 4:10:52 PM
Change Blindness;-0.0004140299;0.7942917;0.1517562;11/25/2020 4:10:52 PM
Change Blindness;-0.001561933;0.7934285;0.1531423;11/25/2020 4:10:52 PM
Change Blindness;0.0001598691;0.793295;0.1532537;11/25/2020 4:10:53 PM
Change Blindness;0.0001598691;0.793295;0.1532537;11/25/2020 4:10:53 PM
Change Blindness;0.01111634;0.795897;0.1510059;11/25/2020 4:10:53 PM
Change Blindness;0.01885566;0.7969787;0.1497209;11/25/2020 4:10:53 PM
